owner,Gender,isGenderNeutral,totalCommit,revExp,review_count,tenure
"1","0","0","1068","845","0","1"
"1","0","0","1086","845","0","2"
"1","0","0","1093","845","0","3"
"1","0","0","901","693","840","4"
"1","0","0","411","316","840","5"
"1","0","0","511","386","808","6"
"1","0","0","662","488","780","7"
"1","0","0","804","573","719","8"
"1","0","0","681","508","603","9"
"1","0","0","438","386","581","10"
"1","0","0","736","547","561","11"
"1","0","0","624","517","503","12"
"1","0","0","743","576","433","13"
"1","0","0","760","616","337","14"
"1","0","0","868","656","287","15"
"1","0","0","1097","737","232","16"
"1","0","0","1099","743","224","17"
"1","0","0","1137","780","674","18"
"1","0","0","1231","804","85","19"
"1","0","0","1202","818","50","20"
"1","0","0","1398","861","973","21"
"1","0","0","1826","875","306","22"
"1","0","0","1910","906","287","23"
"1","0","0","1982","984","232","24"
"1","0","0","2060","1067","175","25"
"1","0","0","2198","1168","169","26"
"1","0","0","2336","1243","218","27"
"1","0","0","2446","1332","911","28"
"1","0","0","2482","1385","502","29"
"1","0","0","2576","1497","609","30"
"1","0","0","2654","1608","84","31"
"1","0","0","2706","1661","308","32"
"1","0","0","2746","1688","139","33"
"1","0","0","2809","1746","436","34"
"1","0","0","2893","1833","670","35"
"1","0","0","2894","1821","461","36"
"1","0","0","2998","1914","660","37"
"1","0","0","3023","1920","345","38"
"1","0","0","3108","1984","304","39"
"1","0","0","3127","2009","305","40"
"1","0","0","3157","2016","232","41"
"1","0","0","3253","2118","474","42"
"1","0","0","3267","2173","195","43"
"1","0","0","3271","2187","496","44"
"1","0","0","3323","2228","405","45"
"1","0","0","3343","2243","81","46"
"1","0","0","3411","2298","250","47"
"1","0","0","3486","2354","136","48"
"1","0","0","3539","2395","104","49"
"1","0","0","3668","2522","349","50"
"1","0","0","3595","2444","268","51"
"1","0","0","3628","2475","239","52"
"1","0","0","3689","2542","459","53"
"1","0","0","3706","2564","173","54"
"1","0","0","3705","2576","56","55"
"1","0","0","3765","2619","181","56"
"1","0","0","3907","2756","222","57"
"1","0","0","3906","2754","204","58"
"1","0","0","3925","2802","117","59"
"1","0","0","4004","2861","57","60"
"1","0","0","4076","2920","65","61"
"1","0","0","4138","2962","27","62"
"1","0","0","4211","2972","5","63"
"6751","0","0","15","27","37","1"
"6751","0","0","35","57","25","2"
"6751","0","0","60","77","22","3"
"6751","0","0","103","144","64","4"
"6751","0","0","128","184","8","5"
"6751","0","0","140","200","1","6"
"6751","0","0","149","205","16","7"
"6751","0","0","189","242","62","8"
"6751","0","0","219","338","51","9"
"6751","0","0","231","368","4","10"
"6751","0","0","253","387","43","11"
"6751","0","0","300","424","15","12"
"6751","0","0","359","467","55","13"
"6751","0","0","409","543","81","14"
"6751","0","0","439","595","47","15"
"6751","0","0","452","621","8","16"
"6751","0","0","460","675","52","17"
"6751","0","0","468","708","0","18"
"6751","0","0","464","700","28","19"
"6751","0","0","481","715","93","20"
"6751","0","0","503","751","67","21"
"6751","0","0","525","784","19","22"
"6751","0","0","541","805","0","23"
"6751","0","0","544","811","9","24"
"6751","0","0","550","826","22","25"
"6751","0","0","567","850","40","26"
"6751","0","0","586","895","11","27"
"6751","0","0","598","915","81","28"
"6751","0","0","605","930","67","29"
"6751","0","0","614","944","73","30"
"6751","0","0","624","965","55","31"
"6751","0","0","626","975","125","32"
"6751","0","0","649","1001","18","33"
"6751","0","0","668","1031","18","35"
"6751","0","0","682","1048","9","36"
"6751","0","0","697","1068","22","37"
"6751","0","0","695","1067","17","38"
"6751","0","0","709","1079","11","39"
"6751","0","0","727","1102","29","40"
"6751","0","0","738","1115","8","41"
"6751","0","0","748","1140","20","43"
"6751","0","0","772","1171","143","44"
"6751","0","0","763","1168","5","45"
"6751","0","0","772","1175","1","46"
"6751","0","0","782","1181","7","47"
"6751","0","0","791","1186","5","48"
"6751","0","0","805","1195","4","49"
"6751","0","0","815","1200","2","50"
"6751","0","0","815","1200","0","51"
"6751","0","0","825","1227","23","52"
"6751","0","0","833","1238","12","53"
"6751","0","0","847","1256","7","54"
"6751","0","0","867","1270","32","55"
"6751","0","0","882","1285","10","56"
"6751","0","0","909","1291","2","57"
"6751","0","0","920","1295","3","58"
"6756","0","1","1","50","0","1"
"6756","0","1","0","41","0","2"
"6756","0","1","3","50","0","5"
"6756","0","1","4","53","0","7"
"6756","0","1","11","54","1","9"
"6756","0","1","17","56","0","11"
"6763","0","1","2","7","9","1"
"6763","0","1","4","14","0","3"
"6763","0","1","5","15","0","5"
"6763","0","1","6","16","0","7"
"6763","0","1","7","16","0","8"
"6763","0","1","9","18","0","14"
"6763","0","1","10","18","0","16"
"6763","0","1","11","19","0","26"
"6763","0","1","13","20","0","27"
"6763","0","1","15","22","0","28"
"6763","0","1","17","22","0","29"
"6763","0","1","22","25","1","31"
"6763","0","1","22","24","0","32"
"6763","0","1","24","25","0","35"
"6763","0","1","27","25","0","36"
"6763","0","1","31","27","2","37"
"6763","0","1","33","28","0","41"
"6763","0","1","35","28","0","42"
"6763","0","1","36","30","0","45"
"6763","0","1","37","31","0","47"
"6763","0","1","38","35","0","50"
"6763","0","1","39","38","0","51"
"6763","0","1","40","39","0","54"
"6763","0","1","41","41","0","67"
"6763","0","1","42","42","0","75"
"6763","0","1","43","42","0","78"
"6763","0","1","44","42","0","82"
"6772","0","0","2","1","1","1"
"6772","0","0","4","1","0","5"
"6772","0","0","6","1","0","6"
"6772","0","0","9","4","0","11"
"6772","0","0","10","5","0","12"
"6772","0","0","11","6","0","13"
"6772","0","0","12","6","0","14"
"6772","0","0","14","8","0","16"
"6772","0","0","26","12","9","17"
"6772","0","0","57","25","12","18"
"6772","0","0","84","34","5","19"
"6772","0","0","100","37","0","21"
"6772","0","0","85","35","0","22"
"6772","0","0","107","37","2","23"
"6772","0","0","129","37","0","24"
"6778","0","0","1","1","0","1"
"6778","0","0","2","2","0","5"
"6778","0","0","3","3","0","9"
"6778","0","0","5","4","0","16"
"6778","0","0","8","5","0","20"
"6778","0","0","16","6","0","22"
"6778","0","0","25","13","0","32"
"6778","0","0","29","13","0","33"
"6778","0","0","33","16","1","45"
"6778","0","0","36","17","0","47"
"6778","0","0","38","23","1","49"
"6778","0","0","39","28","0","82"
"6778","0","0","42","29","0","83"
"6778","0","0","45","30","0","85"
"6778","0","0","46","31","0","102"
"6778","0","0","47","32","0","105"
"6778","0","0","48","33","0","106"
"6780","0","0","0","0","0","1"
"6780","0","0","1","0","0","2"
"6780","0","0","2","0","0","4"
"6780","0","0","3","1","0","19"
"6780","0","0","4","1","0","20"
"6780","0","0","5","1","0","23"
"6780","0","0","6","3","0","34"
"6780","0","0","7","4","0","39"
"6780","0","0","8","6","0","40"
"6781","0","0","3","264","18","1"
"6781","0","0","11","342","85","2"
"6781","0","0","19","464","63","3"
"6781","0","0","34","520","85","4"
"6781","0","0","47","578","2","5"
"6781","0","0","48","611","0","7"
"6781","0","0","51","636","13","9"
"6781","0","0","55","649","0","10"
"6781","0","0","58","668","0","11"
"6781","0","0","87","712","57","12"
"6781","0","0","133","758","42","13"
"6781","0","0","153","799","7","14"
"6781","0","0","154","849","0","17"
"6781","0","0","159","855","1","18"
"6781","0","0","164","869","0","19"
"6781","0","0","165","874","0","21"
"6781","0","0","168","891","20","22"
"6781","0","0","171","903","0","23"
"6781","0","0","173","913","2","25"
"6781","0","0","175","938","8","27"
"6781","0","0","177","950","0","28"
"6781","0","0","186","1018","165","29"
"6781","0","0","180","991","0","33"
"6781","0","0","181","1034","0","37"
"6781","0","0","186","1056","68","38"
"6781","0","0","186","1060","0","39"
"6781","0","0","188","1091","9","40"
"6781","0","0","199","1141","102","41"
"6781","0","0","209","1257","22","42"
"6781","0","0","213","1316","42","43"
"6781","0","0","216","1379","0","45"
"6781","0","0","217","1380","0","46"
"6784","0","0","11","4","8","1"
"6784","0","0","27","23","5","2"
"6784","0","0","41","31","4","3"
"6784","0","0","60","46","16","4"
"6784","0","0","75","64","8","5"
"6784","0","0","98","96","129","6"
"6784","0","0","148","167","129","7"
"6784","0","0","126","150","79","8"
"6784","0","0","149","178","32","9"
"6784","0","0","202","227","42","10"
"6784","0","0","249","246","12","11"
"6784","0","0","307","280","48","12"
"6784","0","0","355","323","34","13"
"6784","0","0","381","370","59","14"
"6784","0","0","410","433","88","15"
"6784","0","0","421","457","66","16"
"6784","0","0","417","459","13","17"
"6784","0","0","430","484","13","18"
"6784","0","0","452","498","35","19"
"6784","0","0","479","535","17","20"
"6784","0","0","510","565","23","21"
"6784","0","0","537","589","7","22"
"6784","0","0","554","622","8","23"
"6784","0","0","571","632","25","24"
"6784","0","0","590","667","24","25"
"6784","0","0","649","745","109","26"
"6784","0","0","698","795","0","27"
"6784","0","0","700","806","0","28"
"6784","0","0","704","813","2","29"
"6784","0","0","714","842","63","30"
"6784","0","0","726","885","2","31"
"6784","0","0","732","891","2","32"
"6784","0","0","748","931","75","33"
"6784","0","0","747","929","67","34"
"6784","0","0","776","982","29","35"
"6784","0","0","800","1048","0","37"
"6784","0","0","805","1058","74","38"
"6784","0","0","830","1151","88","39"
"6784","0","0","851","1207","29","40"
"6784","0","0","864","1245","27","41"
"6784","0","0","908","1317","170","43"
"6784","0","0","883","1280","68","44"
"6784","0","0","902","1312","50","45"
"6784","0","0","905","1329","47","46"
"6784","0","0","922","1357","81","47"
"6784","0","0","945","1394","20","48"
"6784","0","0","950","1397","24","49"
"6784","0","0","967","1421","19","50"
"6784","0","0","976","1432","37","51"
"6784","0","0","981","1434","24","52"
"6784","0","0","999","1456","10","53"
"6784","0","0","1008","1462","1","54"
"6784","0","0","1010","1465","0","55"
"6784","0","0","1016","1475","10","56"
"6784","0","0","1022","1482","0","57"
"6784","0","0","1024","1484","0","59"
"6787","0","0","3","1","2","1"
"6794","0","1","1","4","7","1"
"6794","0","1","1","7","0","5"
"6794","0","1","3","9","0","8"
"6794","0","1","7","12","4","12"
"6794","0","1","8","14","1","15"
"6794","0","1","13","28","1","24"
"6794","0","1","14","29","0","27"
"6794","0","1","15","33","0","30"
"6794","0","1","16","35","0","31"
"6794","0","1","20","41","8","32"
"6794","0","1","23","48","0","36"
"6799","0","0","4","2","3","1"
"6803","0","1","8","52","92","1"
"6803","0","1","8","67","27","4"
"6803","0","1","16","84","7","5"
"6803","0","1","20","99","0","6"
"6803","0","1","27","105","14","7"
"6803","0","1","34","114","10","8"
"6803","0","1","41","126","12","9"
"6803","0","1","43","131","0","10"
"6803","0","1","47","131","0","11"
"6803","0","1","52","145","3","14"
"6803","0","1","57","151","0","15"
"6803","0","1","60","151","0","16"
"6803","0","1","61","154","0","17"
"6803","0","1","66","157","5","19"
"6803","0","1","78","170","5","20"
"6803","0","1","94","191","53","21"
"6803","0","1","90","192","9","24"
"6803","0","1","94","210","0","25"
"6803","0","1","102","218","13","26"
"6803","0","1","116","232","7","29"
"6803","0","1","122","236","1","30"
"6803","0","1","125","236","0","31"
"6803","0","1","131","237","0","32"
"6803","0","1","134","243","8","33"
"6803","0","1","140","260","23","34"
"6803","0","1","140","260","8","36"
"6803","0","1","145","269","0","37"
"6803","0","1","156","281","32","39"
"6803","0","1","174","302","0","41"
"6803","0","1","152","284","1","48"
"6803","0","1","155","285","0","49"
"6803","0","1","167","301","39","52"
"6803","0","1","169","300","28","53"
"6803","0","1","183","324","28","54"
"6803","0","1","197","353","29","57"
"6803","0","1","193","346","2","58"
"6803","0","1","215","378","17","60"
"6803","0","1","203","370","14","61"
"6803","0","1","207","372","0","62"
"6803","0","1","211","374","0","64"
"6803","0","1","215","378","4","67"
"6803","0","1","222","386","0","70"
"6803","0","1","233","417","0","77"
"6803","0","1","230","409","0","80"
"6803","0","1","249","476","36","81"
"6803","0","1","231","411","11","82"
"6803","0","1","234","422","0","83"
"6803","0","1","236","431","1","84"
"6803","0","1","238","444","8","85"
"6803","0","1","245","461","8","86"
"6803","0","1","254","484","19","88"
"6803","0","1","255","492","9","89"
"6803","0","1","261","500","1","90"
"6803","0","1","263","538","3","93"
"6803","0","1","265","550","6","95"
"6803","0","1","268","572","3","97"
"6803","0","1","269","574","0","98"
"6803","0","1","270","577","0","104"
"6804","0","1","1","1","0","1"
"6804","0","1","6","1","0","2"
"6804","0","1","31","4","2","3"
"6804","0","1","65","5","0","4"
"6804","0","1","84","6","0","5"
"6804","0","1","101","9","8","6"
"6804","0","1","104","10","0","7"
"6804","0","1","112","14","2","8"
"6804","0","1","138","15","2","9"
"6804","0","1","170","26","13","10"
"6804","0","1","190","31","2","11"
"6804","0","1","189","32","1","12"
"6804","0","1","194","32","0","13"
"6804","0","1","217","33","3","14"
"6804","0","1","236","34","2","15"
"6804","0","1","245","35","0","16"
"6804","0","1","242","35","0","17"
"6804","0","1","259","35","0","18"
"6804","0","1","272","36","1","19"
"6804","0","1","277","36","0","20"
"6804","0","1","281","40","0","24"
"6804","0","1","286","42","0","25"
"6804","0","1","293","44","2","26"
"6804","0","1","302","45","1","27"
"6804","0","1","305","45","0","28"
"6804","0","1","308","50","0","33"
"6804","0","1","315","51","1","34"
"6804","0","1","322","56","1","35"
"6804","0","1","323","59","0","36"
"6804","0","1","325","62","0","37"
"6804","0","1","345","67","1","42"
"6804","0","1","388","68","3","43"
"6804","0","1","430","71","0","44"
"6804","0","1","461","75","0","45"
"6804","0","1","486","76","1","46"
"6804","0","1","501","79","0","47"
"6804","0","1","507","80","0","53"
"6804","0","1","520","80","0","54"
"6804","0","1","537","81","0","55"
"6804","0","1","545","81","0","56"
"6804","0","1","557","81","0","58"
"6804","0","1","570","81","0","59"
"6804","0","1","574","81","0","60"
"6804","0","1","576","82","0","62"
"6804","0","1","578","82","0","63"
"6804","0","1","604","82","0","69"
"6804","0","1","645","82","0","70"
"6804","0","1","663","82","0","71"
"6804","0","1","666","83","0","72"
"6804","0","1","672","83","0","74"
"6804","0","1","677","83","0","76"
"6804","0","1","679","84","0","78"
"6804","0","1","682","84","0","79"
"6804","0","1","685","84","0","80"
"6804","0","1","689","85","0","81"
"6804","0","1","700","85","0","82"
"6804","0","1","713","85","0","84"
"6804","0","1","719","85","0","88"
"6804","0","1","740","86","2","91"
"6804","0","1","760","87","0","92"
"6804","0","1","764","87","0","93"
"6804","0","1","768","87","0","98"
"6804","0","1","772","90","0","103"
"6804","0","1","775","91","0","106"
"6804","0","1","778","92","0","109"
"6804","0","1","791","95","5","111"
"6804","0","1","811","98","1","115"
"6804","0","1","826","98","0","116"
"6804","0","1","834","98","0","117"
"6804","0","1","837","98","0","120"
"6805","1","1","2","0","0","1"
"6805","1","1","7","0","0","13"
"6805","1","1","9","1","0","19"
"6805","1","1","11","1","0","21"
"6805","1","1","13","1","0","25"
"6807","0","0","1","1","0","1"
"6807","0","0","6","3","2","3"
"6807","0","0","11","4","0","4"
"6807","0","0","15","7","2","5"
"6807","0","0","20","16","0","6"
"6809","0","1","1","0","0","1"
"6809","0","1","90","247","0","9"
"6809","0","1","20","52","229","33"
"6809","0","1","67","137","23","37"
"6809","0","1","9","36","0","38"
"6809","0","1","56","121","0","39"
"6809","0","1","57","121","0","40"
"6809","0","1","58","121","0","43"
"6809","0","1","26","62","81","44"
"6809","0","1","48","103","183","45"
"6809","0","1","50","103","101","46"
"6809","0","1","64","130","68","47"
"6809","0","1","72","150","0","48"
"6809","0","1","79","187","81","49"
"6809","0","1","85","206","60","50"
"6809","0","1","88","237","14","51"
"6809","0","1","97","249","8","52"
"6809","0","1","106","275","13","53"
"6809","0","1","116","301","21","54"
"6809","0","1","122","321","0","56"
"6809","0","1","123","344","0","59"
"6809","0","1","126","356","6","60"
"6809","0","1","129","365","0","61"
"6809","0","1","136","377","9","62"
"6809","0","1","143","411","9","67"
"6809","0","1","144","423","0","68"
"6809","0","1","145","424","0","69"
"6809","0","1","147","434","3","70"
"6809","0","1","148","445","0","71"
"6809","0","1","152","452","0","74"
"6809","0","1","157","455","3","75"
"6809","0","1","159","473","0","78"
"6809","0","1","161","478","4","79"
"6809","0","1","165","489","6","80"
"6809","0","1","174","498","8","81"
"6809","0","1","184","512","12","82"
"6809","0","1","188","566","1","88"
"6809","0","1","190","571","0","89"
"6809","0","1","191","598","0","94"
"6809","0","1","192","602","0","95"
"6809","0","1","193","618","0","97"
"6809","0","1","195","627","0","104"
"6809","0","1","196","636","0","108"
"6809","0","1","197","637","0","109"
"6809","0","1","200","639","0","110"
"6809","0","1","206","643","0","111"
"6809","0","1","210","645","0","114"
"6809","0","1","211","645","0","115"
"6809","0","1","213","645","0","117"
"6809","0","1","216","651","0","119"
"6809","0","1","218","653","0","120"
"6809","0","1","219","659","0","122"
"6809","0","1","220","671","0","126"
"6809","0","1","221","680","0","131"
"6818","0","0","1","0","0","1"
"6818","0","0","5","6","1","2"
"6818","0","0","8","6","0","5"
"6818","0","0","11","6","0","6"
"6818","0","0","14","9","0","7"
"6818","0","0","16","13","0","9"
"6818","0","0","17","25","0","13"
"6818","0","0","18","25","0","14"
"6818","0","0","19","26","0","18"
"6818","0","0","21","28","0","19"
"6818","0","0","25","30","0","20"
"6818","0","0","23","30","0","21"
"6818","0","0","31","37","10","22"
"6818","0","0","39","44","3","25"
"6818","0","0","48","46","2","26"
"6818","0","0","56","49","0","28"
"6818","0","0","60","50","0","30"
"6818","0","0","61","54","0","33"
"6818","0","0","62","57","0","35"
"6818","0","0","63","61","0","41"
"6818","0","0","65","64","0","45"
"6818","0","0","66","69","0","52"
"6818","0","0","67","74","0","56"
"6818","0","0","69","75","0","58"
"6818","0","0","89","96","0","62"
"6818","0","0","71","80","0","64"
"6818","0","0","76","80","0","67"
"6818","0","0","81","80","0","68"
"6818","0","0","83","82","0","71"
"6818","0","0","85","84","0","74"
"6818","0","0","86","84","0","75"
"6818","0","0","87","96","0","77"
"6818","0","0","88","96","0","78"
"6818","0","0","90","101","0","83"
"6818","0","0","91","101","0","87"
"6818","0","0","94","101","0","92"
"6818","0","0","99","102","0","94"
"6818","0","0","97","102","0","100"
"6825","0","1","2","1","0","1"
"6825","0","1","4","1","0","2"
"6825","0","1","7","4","0","3"
"6825","0","1","9","8","0","5"
"6825","0","1","16","12","0","6"
"6825","0","1","10","10","0","8"
"6825","0","1","11","10","0","9"
"6825","0","1","12","11","0","11"
"6825","0","1","14","12","0","12"
"6825","0","1","19","13","1","13"
"6825","0","1","38","22","107","17"
"6825","0","1","47","19","0","19"
"6825","0","1","51","20","0","20"
"6825","0","1","52","20","0","21"
"6825","0","1","55","24","0","24"
"6825","0","1","58","34","1","27"
"6825","0","1","64","36","3","28"
"6825","0","1","69","38","0","29"
"6825","0","1","72","43","2","30"
"6825","0","1","76","48","0","31"
"6825","0","1","94","76","63","32"
"6825","0","1","83","69","7","33"
"6825","0","1","91","74","6","34"
"6825","0","1","97","78","3","35"
"6825","0","1","100","85","0","36"
"6825","0","1","110","90","23","37"
"6825","0","1","120","100","7","38"
"6825","0","1","123","104","0","39"
"6825","0","1","128","110","0","40"
"6825","0","1","126","110","0","41"
"6825","0","1","129","112","0","42"
"6825","0","1","132","114","0","43"
"6825","0","1","134","115","0","44"
"6825","0","1","136","120","2","45"
"6825","0","1","139","123","1","46"
"6825","0","1","143","130","8","47"
"6825","0","1","146","135","1","48"
"6825","0","1","147","138","0","49"
"6825","0","1","148","139","0","51"
"6825","0","1","149","139","0","52"
"6825","0","1","150","147","0","53"
"6825","0","1","151","149","0","57"
"6825","0","1","152","152","0","60"
"6825","0","1","154","156","0","62"
"6825","0","1","156","157","0","64"
"6825","0","1","157","160","0","65"
"6825","0","1","158","160","0","71"
"6827","0","0","0","0","0","1"
"6827","0","0","1","4","0","13"
"6827","0","0","2","5","0","21"
"6827","0","0","4","7","0","30"
"6827","0","0","6","7","0","34"
"6827","0","0","8","8","0","36"
"6827","0","0","9","8","0","42"
"6827","0","0","10","8","0","43"
"6827","0","0","12","10","0","45"
"6827","0","0","13","10","0","46"
"6827","0","0","14","10","0","47"
"6827","0","0","15","10","0","48"
"6827","0","0","16","10","0","50"
"6827","0","0","17","12","0","52"
"6827","0","0","19","15","0","63"
"6827","0","0","20","15","0","71"
"6827","0","0","21","16","0","72"
"6827","0","0","22","16","0","80"
"6827","0","0","23","20","0","85"
"6827","0","0","24","23","0","89"
"6827","0","0","26","34","0","109"
"6827","0","0","28","39","0","113"
"6827","0","0","30","41","0","114"
"6827","0","0","32","43","4","115"
"6827","0","0","34","49","0","116"
"6827","0","0","36","49","0","117"
"6827","0","0","38","59","1","120"
"6827","0","0","42","61","1","121"
"6827","0","0","44","61","0","122"
"6827","0","0","46","66","0","123"
"6827","0","0","48","72","2","124"
"6827","0","0","51","74","0","125"
"6827","0","0","54","77","1","126"
"6827","0","0","58","80","1","127"
"6827","0","0","62","84","5","128"
"6827","0","0","65","87","0","129"
"6827","0","0","69","90","1","130"
"6827","0","0","71","90","0","131"
"6827","0","0","75","91","1","132"
"6831","0","0","0","0","0","1"
"6831","0","0","1","5","0","2"
"6831","0","0","3","6","0","4"
"6831","0","0","4","10","0","8"
"6831","0","0","5","10","0","11"
"6831","0","0","7","10","0","14"
"6831","0","0","9","10","0","16"
"6831","0","0","10","10","0","17"
"6831","0","0","12","13","3","21"
"6834","0","0","1","13","0","1"
"6834","0","0","2","14","0","4"
"6834","0","0","3","23","0","17"
"6834","0","0","4","25","0","29"
"6834","0","0","5","25","0","31"
"6834","0","0","6","25","0","32"
"6834","0","0","7","26","0","33"
"6834","0","0","9","26","0","41"
"6836","0","1","1","1","0","1"
"6836","0","1","4","2","0","5"
"6836","0","1","5","2","0","6"
"6837","0","0","1","4","0","1"
"6837","0","0","2","9","0","13"
"6837","0","0","4","23","0","42"
"6843","0","1","1","6","0","1"
"6843","0","1","3","12","3","13"
"6843","0","1","6","18","2","15"
"6843","0","1","10","26","8","29"
"6843","0","1","12","31","0","30"
"6843","0","1","14","55","0","73"
"6843","0","1","15","58","0","74"
"6843","0","1","17","64","2","75"
"6843","0","1","21","69","7","76"
"6843","0","1","25","80","3","77"
"6843","0","1","27","82","1","78"
"6843","0","1","28","82","0","79"
"6843","0","1","29","84","0","80"
"6857","0","0","0","0","0","1"
"6857","0","0","2","20","0","16"
"6857","0","0","5","22","0","26"
"6857","0","0","8","22","0","27"
"6859","0","1","1","0","0","1"
"6859","0","1","4","2","0","8"
"6859","0","1","7","2","0","10"
"6859","0","1","8","2","0","20"
"6881","0","0","2","9","3","1"
"6881","0","0","6","18","1","2"
"6881","0","0","10","22","0","4"
"6881","0","0","15","34","0","5"
"6881","0","0","13","30","0","6"
"6881","0","0","14","34","0","7"
"6881","0","0","17","35","0","8"
"6881","0","0","23","44","4","9"
"6881","0","0","21","45","0","11"
"6881","0","0","28","47","0","12"
"6881","0","0","34","62","0","14"
"6881","0","0","36","65","7","16"
"6881","0","0","43","82","7","20"
"6881","0","0","42","83","0","21"
"6881","0","0","49","95","1","24"
"6881","0","0","55","99","3","25"
"6881","0","0","57","110","0","26"
"6881","0","0","65","115","1","27"
"6881","0","0","72","125","0","28"
"6881","0","0","75","133","5","29"
"6881","0","0","80","141","20","30"
"6881","0","0","91","163","15","31"
"6881","0","0","98","180","2","32"
"6881","0","0","103","200","13","33"
"6881","0","0","108","222","9","34"
"6881","0","0","112","245","22","35"
"6881","0","0","126","286","43","36"
"6881","0","0","130","294","27","37"
"6881","0","0","143","321","3","40"
"6881","0","0","144","325","0","41"
"6881","0","0","145","335","0","45"
"6881","0","0","146","339","0","49"
"6881","0","0","148","340","0","67"
"6884","0","1","1","0","0","1"
"6884","0","1","3","0","0","4"
"6884","0","1","4","0","0","10"
"6889","0","0","0","45","0","1"
"6889","0","0","1","51","0","4"
"6889","0","0","4","54","0","5"
"6889","0","0","9","58","1","6"
"6889","0","0","13","62","2","8"
"6889","0","0","19","71","3","10"
"6889","0","0","23","78","1","15"
"6889","0","0","26","95","1","20"
"6889","0","0","28","97","0","21"
"6889","0","0","30","103","0","24"
"6889","0","0","32","170","0","40"
"6890","0","1","11","2","0","1"
"6890","0","1","22","2","0","4"
"6890","0","1","26","7","0","9"
"6903","0","1","1","0","0","1"
"6903","0","1","3","0","0","51"
"6903","0","1","3","0","0","52"
"6904","0","1","15","5","0","1"
"6904","0","1","1","4","1","6"
"6904","0","1","6","5","1","7"
"6904","0","1","12","5","0","8"
"6904","0","1","27","12","22","9"
"6904","0","1","19","7","0","10"
"6904","0","1","20","10","0","11"
"6904","0","1","25","14","1","12"
"6904","0","1","33","16","1","13"
"6904","0","1","41","18","2","14"
"6904","0","1","44","19","1","15"
"6904","0","1","49","21","0","16"
"6904","0","1","54","24","3","19"
"6904","0","1","56","28","0","20"
"6904","0","1","58","28","0","21"
"6904","0","1","59","28","0","22"
"6904","0","1","62","29","0","23"
"6904","0","1","66","30","3","24"
"6904","0","1","67","30","0","25"
"6904","0","1","69","31","0","28"
"6904","0","1","72","32","0","29"
"6904","0","1","76","32","0","30"
"6904","0","1","82","33","1","31"
"6904","0","1","85","35","0","33"
"6904","0","1","87","35","0","34"
"6904","0","1","89","35","0","37"
"6904","0","1","92","37","2","38"
"6904","0","1","95","38","0","39"
"6904","0","1","98","39","1","40"
"6904","0","1","99","40","0","47"
"6904","0","1","100","40","0","59"
"6904","0","1","101","40","0","64"
"6904","0","1","102","41","0","66"
"6904","0","1","104","41","0","67"
"6906","0","0","8","9","6","1"
"6906","0","0","126","240","310","4"
"6906","0","0","26","74","41","5"
"6906","0","0","33","95","10","6"
"6906","0","0","39","99","8","7"
"6906","0","0","69","144","293","8"
"6906","0","0","127","226","162","9"
"6906","0","0","123","230","37","10"
"6906","0","0","115","224","99","11"
"6906","0","0","148","260","115","12"
"6906","0","0","180","315","114","13"
"6906","0","0","202","369","49","14"
"6906","0","0","223","402","40","15"
"6906","0","0","231","413","0","16"
"6906","0","0","237","422","0","18"
"6906","0","0","245","424","1","20"
"6906","0","0","251","424","0","21"
"6906","0","0","256","425","0","22"
"6906","0","0","260","426","2","23"
"6917","0","1","2","4","6","1"
"6917","0","1","5","9","1","2"
"6917","0","1","10","14","9","3"
"6917","0","1","17","21","2","4"
"6917","0","1","23","24","0","5"
"6917","0","1","26","26","0","6"
"6917","0","1","30","28","1","7"
"6917","0","1","35","39","0","8"
"6917","0","1","45","43","5","9"
"6917","0","1","52","47","0","11"
"6917","0","1","53","47","0","12"
"6917","0","1","56","56","0","13"
"6917","0","1","66","58","4","14"
"6917","0","1","72","61","9","15"
"6917","0","1","85","78","1","17"
"6917","0","1","90","79","0","18"
"6917","0","1","93","83","3","19"
"6917","0","1","103","87","1","20"
"6917","0","1","118","92","4","21"
"6917","0","1","130","96","3","22"
"6917","0","1","137","100","1","23"
"6917","0","1","157","104","7","24"
"6917","0","1","180","114","9","25"
"6917","0","1","189","116","0","26"
"6917","0","1","206","118","6","27"
"6917","0","1","227","122","0","28"
"6917","0","1","241","125","5","29"
"6917","0","1","253","141","12","30"
"6917","0","1","266","150","10","31"
"6917","0","1","280","169","22","32"
"6917","0","1","296","181","13","33"
"6917","0","1","296","181","0","34"
"6917","0","1","302","184","4","35"
"6917","0","1","319","187","4","36"
"6917","0","1","348","195","10","37"
"6917","0","1","394","203","8","38"
"6917","0","1","442","209","1","39"
"6917","0","1","477","211","4","40"
"6917","0","1","499","214","0","41"
"6917","0","1","507","216","2","42"
"6917","0","1","509","216","0","43"
"6917","0","1","515","218","1","44"
"6917","0","1","526","219","0","46"
"6917","0","1","534","219","0","47"
"6917","0","1","540","220","2","48"
"6917","0","1","551","222","1","49"
"6917","0","1","561","222","0","51"
"6917","0","1","573","223","0","52"
"6917","0","1","585","223","0","53"
"6917","0","1","589","224","0","54"
"6917","0","1","594","227","2","55"
"6917","0","1","607","228","0","56"
"6917","0","1","617","229","0","58"
"6917","0","1","620","229","0","60"
"6917","0","1","622","244","0","62"
"6917","0","1","647","244","0","63"
